Textbox137,Textbox143,Textbox155,Textbox156,Textbox146,Textbox147,Textbox148,Textbox149,Textbox150,Textbox151,Textbox152,Textbox153,Textbox154,Textbox157,Textbox158,Textbox159,Textbox160,Textbox161,Textbox162,Textbox163,Textbox164,Textbox165,Textbox166,Textbox167
Free Trade Agreement Partners: Total Quarterly Volumes and Utilization per TRQ,1. Carbon Steel Ingots: Quarterly Utilization per Country – Maximum share for any single country is 77%,2. Steel Billets and Blooms: Quarterly Utilization per Country – Maximum share for any single country is 40%,3. Hot-Rolled Sheet: Quarterly Utilization per Country – Maximum share for any single country is 67%,4. Floor Plate: Quarterly Utilization per Country – Maximum share for any single country is 66%,5. Steel Plate: Quarterly Utilization per Country – Maximum share for any single country is 30%,6. Cold-Rolled Sheet: Quarterly Utilization per Country – Maximum share for any single country is 32%,7. Tin: Quarterly Utilization per Country – Maximum share for any single country is 56%,8. Coated Steel Sheet: Quarterly Utilization per Country – Maximum share for any single country is 25%,9. Pre-Painted: Quarterly Utilization per Country – Maximum share for any single country is 90%,10. Rebar: Quarterly Utilization per Country – Maximum share for any single country is 45%,11. Hot-Rolled Bar: Quarterly Utilization per Country – Maximum share for any single country is 58%,12. Wire Rod: Quarterly Utilization per Country – Maximum share for any single country is 59%,13. Cold Finished Bars: Quarterly Utilization per Country – Maximum share for any single country is 39%,14. Structural Steel: Quarterly Utilization per Country – Maximum share for any single country is 69%,15. Steel Wire: Quarterly Utilization per Country – Maximum share for any single country is 24%,16. Stainless Steel Ingots: Quarterly Utilization per Country – Maximum share for any single country is 83%,17. Stainless Steel Billets and Blooms: Quarterly Utilization per Country – Maximum share for any single country is 57%,18. Line Pipe: Quarterly Utilization per Country – Maximum share for any single country is 45%,19. Oil Country Tubular Goods: Quarterly Utilization per Country – Maximum share for any single country is 86%,20. Standard Pipe: Quarterly Utilization per Country – Maximum share for any single country is 58%,21. Large Diameter Line Pipe: Quarterly Utilization per Country – Maximum share for any single country is 76%,22. Piling Pipe: Quarterly Utilization per Country – Maximum share for any single country is 77%,23. Hollow Structural Sections: Quarterly Utilization per Country – Maximum share for any single country is 41%

Textboxb6db942229da46bd872d39356f1404bb,Textbox0874cee6ce8b4c488f07adddedeb99e0,Textbox38,Textbox6defe02f6a5b4da79422566035a32381,Textbox8183768284fd4c8a9fecbd60b0f055be,Textboxecf89731bdd942ec8daa85d7b51cbfd4,Textbox18,CONTROL_ITEMS_Level_1_Commodity_Code,CONTROL_ITEMS_Level_1_Ceiling_Level,ID23_Products_Quota_Country_Ceiling___,ID_PERMIT_ITEM_FACT_Permit_Quantity,ID_CONTROL_ITEMS_FACT_Utilized,CONTROL_ITEMS_Quota_Remaining
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),1,Carbon Steel Ingots,"92,400",77%,0,0.00%,"92,400"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),2,Steel Billets and Blooms,"17,649,400",40%,"279,220",1.58%,"17,370,180"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),3,Hot-Rolled Sheet,"9,523,100",67%,"9,523,100",100.00%,0
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),4,Floor Plate,"33,400",66%,0,0.00%,"33,400"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),5,Steel Plate,"54,354,900",30%,"54,258,917",99.82%,"95,983"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),6,Cold-Rolled Sheet,"1,832,600",32%,"1,832,600",100.00%,0
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),7,Tin,"2,156,400",56%,"1,456,325",67.54%,"700,075"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),8,Coated Steel Sheet,"31,128,200",25%,"30,795,675",98.93%,"332,525"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),9,Pre-Painted,"23,763,800",90%,"23,505,260",98.91%,"258,540"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),10,Rebar,"28,710,400",45%,"28,708,525",99.99%,"1,875"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),11,Hot-Rolled Bar,"8,750,300",58%,"8,583,741",98.10%,"166,559"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),12,Wire Rod,"16,514,800",59%,"15,945,471",96.55%,"569,329"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),13,Cold Finished Bars,"6,559,300",39%,"4,599,331",70.12%,"1,959,969"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),14,Structural Steel,"3,467,600",69%,"3,467,566",100.00%,34
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),15,Steel Wire,"7,370,100",24%,"7,225,000",98.03%,"145,100"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),16,Stainless Steel Ingots,"1,100",83%,0,0.00%,"1,100"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),17,Stainless Steel Billets and Blooms,"5,800",57%,0,0.00%,"5,800"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),18,Line Pipe,"6,248,600",45%,"6,238,019",99.83%,"10,581"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),19,Oil Country Tubular Goods,"9,800,800",86%,"9,800,800",100.00%,0
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),20,Standard Pipe,"13,489,500",58%,"13,447,888",99.69%,"41,612"
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),21,Large Diameter Line Pipe,"10,693,500",76%,"10,693,500",100.00%,0
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),22,Piling Pipe,800,77%,0,0.00%,800
Product Category,Maximum quota (KGM),Maximum country share (%),Current utilization (KGM),Current utilization (%),Remaining quota (KGM),23,Hollow Structural Sections,"2,776,900",41%,"2,776,547",99.99%,353

Textboxb6db942229da46bd872d39356f1404bb2,Textbox6defe02f6a5b4da79422566035a32382,Textbox8183768284fd4c8a9fecbd60b0f055be2,CONTROL_ITEMS_Level_1_Commodity_Code,ID_PERMIT_ITEM_FACT_Permit_Quantity,ID_v__Utilized_Country_21,Textbox7,Textbox24

Textboxb6db942229da46bd872d39356f1404bb3,Textbox6defe02f6a5b4da79422566035a32383,Textbox8183768284fd4c8a9fecbd60b0f055be3,CONTROL_ITEMS_Level_1_Commodity_Code,ID_PERMIT_ITEM_FACT_Permit_Quantity,ID_v__Utilized_Country_11,Textbox125,Textbox87
Country,Current utilization (KGM),Share of total utilization (%),Austria,984,0.01%,"279,220",1.58%
Country,Current utilization (KGM),Share of total utilization (%),Denmark,"36,942",0.21%,"279,220",1.58%
Country,Current utilization (KGM),Share of total utilization (%),Romania,"23,244",0.13%,"279,220",1.58%
Country,Current utilization (KGM),Share of total utilization (%),United Kingdom,"218,050",1.24%,"279,220",1.58%

Textboxb6db942229da46bd872d39356f1404bb4,Textbox6defe02f6a5b4da79422566035a32384,Textbox8183768284fd4c8a9fecbd60b0f055be4,CONTROL_ITEMS_Level_1_Commodity_Code,ID_PERMIT_ITEM_FACT_Permit_Quantity,ID_CONTROL_ITEMS_FACT_Utilized,Textbox8,Textbox89
Country,Current utilization (KGM),Share of total utilization (%),Austria,551,0.01%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Belgium,"28,744",0.30%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Czech Republic,488,0.01%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Finland,"1,108,734",11.64%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),France,"11,180",0.12%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Germany,"1,095,089",11.50%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Italy,"2,502",0.03%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),"Korea, Republic of","3,998,248",41.98%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Netherlands,"707,540",7.43%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Poland,"7,373",0.08%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Spain,"135,870",1.43%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Sweden,"133,259",1.40%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),United Kingdom,"3,362",0.04%,"9,523,100",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Vietnam,"2,290,160",24.05%,"9,523,100",100.00%

Textboxb6db942229da46bd872d39356f1404bb5,Textbox6defe02f6a5b4da79422566035a32385,Textbox8183768284fd4c8a9fecbd60b0f055be5,CONTROL_ITEMS_Level_1_Commodity_Code,ID_PERMIT_ITEM_FACT_Permit_Quantity,ID_v__Utilized_Country_1,Textbox103,Textbox106

Textboxb6db942229da46bd872d39356f1404bb6,Textbox6defe02f6a5b4da79422566035a32386,Textbox8183768284fd4c8a9fecbd60b0f055be6,CONTROL_ITEMS_Level_1_Commodity_Code,ID_PERMIT_ITEM_FACT_Permit_Quantity,ID_v__Utilized_Country_4,Textbox130,Textbox131
Country,Current utilization (KGM),Share of total utilization (%),Australia,"1,230,346",2.26%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),Austria,"1,839,793",3.38%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),Belgium,"1,725,732",3.17%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),Finland,"1,686,019",3.10%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),France,"4,028,886",7.41%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),Germany,"8,369,215",15.40%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),Japan,"5,777,417",10.63%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),"Korea, Republic of","16,306,470",30.00%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),Malaysia,"9,064,482",16.68%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),Netherlands,"399,459",0.73%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),Poland,441,0.00%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),Slovenia,"32,860",0.06%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),Spain,"26,788",0.05%,"54,258,917",99.82%
Country,Current utilization (KGM),Share of total utilization (%),Sweden,"3,771,009",6.94%,"54,258,917",99.82%

Textboxb6db942229da46bd872d39356f1404bb7,Textbox6defe02f6a5b4da79422566035a32387,Textbox8183768284fd4c8a9fecbd60b0f055be7,CONTROL_ITEMS_Level_1_Commodity_Code,ID_PERMIT_ITEM_FACT_Permit_Quantity,ID_v__Utilized_Country_2,Textbox9,Textbox91
Country,Current utilization (KGM),Share of total utilization (%),Australia,"365,060",19.92%,"1,832,600",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Germany,"432,446",23.60%,"1,832,600",100.00%
Country,Current utilization (KGM),Share of total utilization (%),"Korea, Republic of","560,199",30.57%,"1,832,600",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Slovakia,"2,105",0.11%,"1,832,600",100.00%
Country,Current utilization (KGM),Share of total utilization (%),Sweden,"472,790",25.80%,"1,832,600",100.00%

Textboxb6db942229da46bd872d39356f1404bb8,Textbox6defe02f6a5b4da79422566035a32388,Textbox8183768284fd4c8a9fecbd60b0f055be8,CONTROL_ITEMS_Level_1_Commodity_Code,ID_PERMIT_ITEM_FACT_Permit_Quantity,ID_CONTROL_ITEMS_FACT_Utilized,Textbox10,Textbox31
Country,Current utilization (KGM),Share of total utilization (%),France,"153,687",7.13%,"1,456,325",67.54%
Country,Current utilization (KGM),Share of total utilization (%),Germany,"8,781",0.41%,"1,456,325",67.54%
Country,Current utilization (KGM),Share of total utilization (%),Japan,"167,686",7.78%,"1,456,325",67.54%
Country,Current utilization (KGM),Share of total utilization (%),"Korea, Republic of","1,030,535",47.79%,"1,456,325",67.54%
Country,Current utilization (KGM),Share of total utilization (%),Netherlands,"50,042",2.32%,"1,456,325",67.54%
Country,Current utilization (KGM),Share of total utilization (%),Spain,"45,594",2.11%,"1,456,325",67.54%

Textboxb6db942229da46bd872d39356f1404bb9,Textbox6defe02f6a5b4da79422566035a32389,Textbox8183768284fd4c8a9fecbd60b0f055be9,CONTROL_ITEMS_Level_1_Commodity_Code,ID_PERMIT_ITEM_FACT_Permit_Quantity,ID_CONTROL_ITEMS_FACT_Utilized,Textbox11,Textbox61
Country,Current utilization (KGM),Share of total utilization (%),Australia,"5,166,160",16.60%,"30,795,675",98.93%
Country,Current utilization (KGM),Share of total utilization (%),Austria,"44,223",0.14%,"30,795,675",98.93%
Country,Current utilization (KGM),Share of total utilization (%),Belgium,"5,249,322",16.86%,"30,795,675",98.93%
Country,Current utilization (KGM),Share of total utilization (%),Finland,"1,102,920",3.54%,"30,795,675",98.93%
Country,Current utilization (KGM),Share of total utilization (%),France,"43,833",0.14%,"30,795,675",98.93%
Country,Current utilization (KGM),Share of total utilization (%),Germany,"7,771,009",24.96%,"30,795,675",98.93%
